step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
145,0,0,0,0,0.2025429,0.1190962,0.003556346,0.1497012,0,0,0.053961,0,0.03197325,0,0.04007647,0.225079,0.4419771,0,0,0,0
146,0,0,0,0,0.1689418,0.1196692,0.003615006,0.1495728,0,0,0.04514755,0,0.03212537,0,0.04004255,0.2240553,0.4483871,0,0,0,0
147,0,0,0,0,0.2332466,0.1209598,0.003695995,0.1694956,0,0,0.06196764,0,0.03246798,0,0.04529324,0.2178186,0.4549265,0,0,0,0
148,0,0,0,0,0.105068,0.1207813,0.003732477,0.1582598,0,0,0.02824377,0,0.03242058,0,0.04233438,0.218726,0.4592786,0,0,0,0
149,0,0,0,0,0.06501436,0.1201616,0.003755051,0.1472238,0,0,0.01754189,0,0.0322561,0,0.0394222,0.2216665,0.4658818,0,0,0,0
150,0,0,0,0,0.143685,0.1203842,0.003804942,0.1426568,0,0,0.03848715,0,0.03231517,0,0.03821535,0.2195262,0.4682656,0,0,0,0
151,0,0,0,0,0.1065437,0.1205326,0.003841936,0.1322917,0,0,0.02863654,0,0.03235457,0,0.03547257,0.2258249,0.4728865,0,0,0,0
152,0,0,0,0,0.2018965,0.121075,0.003912039,0.1375559,0,0,0.05379196,0,0.03249854,0,0.03686623,0.2255503,0.4798537,0,0,0,0
153,0,0,0,0,0.1541775,0.1214718,0.003965573,0.1286278,0,0,0.04125784,0,0.03260386,0,0.03450179,0.2234422,0.48383,0,0,0,0
154,0,0,0,0,0.1887647,0.1226869,0.004031116,0.1381867,0,0,0.05035352,0,0.0329263,0,0.03703313,0.2238853,0.4857521,0,0,0,0
155,0,0,0,0,0.1830125,0.1226908,0.004094662,0.1516356,0,0,0.04884478,0,0.03292734,0,0.0405871,0.2237505,0.4915294,0,0,0,0
156,0,0,0,0,0.1725957,0.1239145,0.004154591,0.1547786,0,0,0.04610857,0,0.03325199,0,0.0414164,0.2314103,0.5000163,0,0,0,0
157,0,0,0,0,0.2103042,0.1256597,0.004227614,0.1679219,0,0,0.05598912,0,0.03371489,0,0.04487918,0.2266347,0.5020069,0,0,0,0
158,0,0,0,0,0.1725957,0.1267297,0.004287543,0.1656656,0,0,0.04610857,0,0.03399863,0,0.04428533,0.2223451,0.5068465,0,0,0,0
159,0,0,0,0,0.198255,0.1280143,0.004356381,0.1720141,0,0,0.05283929,0,0.03433916,0,0.04595564,0.2308802,0.5107491,0,0,0,0
160,0,0,0,0,0.1869707,0.1294249,0.004421302,0.1717145,0,0,0.04988315,0,0.03471303,0,0.04587685,0.2240808,0.5172827,0,0,0,0
161,0,0,0,0,0.310295,0.1309804,0.004529043,0.1887365,0,0,0.08186619,0,0.03512521,0,0.05034613,0.2280075,0.5212937,0,0,0,0
162,0,0,0,0,0.2371173,0.1328325,0.004611375,0.1985402,0,0,0.06297388,0,0.03561581,0,0.05291391,0.2300372,0.5228155,0,0,0,0
163,0,0,0,0,0.2273416,0.1344762,0.004690313,0.2016946,0,0,0.06043123,0,0.03605107,0,0.05373914,0.229076,0.5303117,0,0,0,0
164,0,0,0,0,0.1998413,0.1359743,0.004759703,0.2055164,0,0,0.05325435,0,0.03644765,0,0.05473835,0.2292816,0.533026,0,0,0,0
165,0,0,0,0,0.2330381,0.137299,0.004840619,0.2100652,0,0,0.06191344,0,0.03679823,0,0.0559267,0.228257,0.5359871,0,0,0,0
166,0,0,0,0,0.2850735,0.139652,0.004939602,0.2226564,0,0,0.07538264,0,0.03742076,0,0.05921103,0.2267614,0.5396875,0,0,0,0
167,0,0,0,0,0.2033519,0.1411289,0.005010211,0.2123926,0,0,0.05417253,0,0.03781137,0,0.05653435,0.2276495,0.5447377,0,0,0,0
168,0,0,0,0,0.1689418,0.1422541,0.005068871,0.2066946,0,0,0.04514755,0,0.03810891,0,0.05504625,0.2263354,0.5472586,0,0,0,0
169,0,0,0,0,0.322558,0.1448433,0.00518087,0.2197366,0,0,0.08500807,0,0.03879328,0,0.05845009,0.2309645,0.5517007,0,0,0,0
170,0,0,0,0,0.2421492,0.1464562,0.00526495,0.2252026,0,0,0.06428092,0,0.03921944,0,0.0598743,0.232452,0.5543705,0,0,0,0
171,0,0,0,0,0.2077391,0.1471943,0.005337082,0.2240591,0,0,0.05531914,0,0.03941442,0,0.05957647,0.2316008,0.5597693,0,0,0,0
172,0,0,0,0,0.1567431,0.146954,0.005391506,0.2092771,0,0,0.0419345,0,0.03935094,0,0.05572088,0.2295064,0.5658708,0,0,0,0
173,0,0,0,0,0.2242467,0.1479572,0.00546937,0.2123487,0,0,0.05962534,0,0.03961593,0,0.05652291,0.2327671,0.5659638,0,0,0,0
174,0,0,0,0,0.264416,0.1488286,0.005561181,0.2239443,0,0,0.07005054,0,0.03984604,0,0.05954657,0.2271311,0.5700949,0,0,0,0
175,0,0,0,0,0.2348121,0.1514376,0.005642713,0.2145533,0,0,0.0623747,0,0.04053484,0,0.05709826,0.2307029,0.573733,0,0,0,0
176,0,0,0,0,0.2417624,0.1535324,0.005726658,0.2153195,0,0,0.06418047,0,0.04108764,0,0.05729816,0.2309885,0.5804291,0,0,0,0
177,0,0,0,0,0.1674192,0.1537802,0.00578479,0.2101081,0,0,0.04474691,0,0.04115302,0,0.0559379,0.2326244,0.5842751,0,0,0,0
178,0,0,0,0,0.1909661,0.1540123,0.005851097,0.214865,0,0,0.05093052,0,0.04121424,0,0.0571796,0.2315943,0.5817313,0,0,0,0
179,0,0,0,0,0.2188869,0.1549099,0.0059271,0.2159792,1,0,0.05822857,0,0.04145104,0,0.05747027,0.2248822,0.5894767,0,0,0,0
180,0,0,0,0,0.2109798,0.1552438,0.006000357,0.2107896,1,0,0.05616554,0,0.04153912,0,0.05611586,0.232491,0.588455,0,0,0,0
181,0,0,0,0,0.2345159,0.1571827,0.006081786,0.2121786,1,0,0.06229769,0,0.04205042,0,0.05647849,0.2321583,0.5921285,0,0,0,0
182,0,0,0,0,0.3250141,0.1590568,0.006194638,0.2227967,1,0,0.08563652,0,0.04254446,0,0.05924761,0.2321384,0.5961475,0,0,0,0
183,0,0,0,0,0.2789275,0.1615645,0.006291488,0.2365726,1,0,0.07379831,0,0.04320529,0,0.06283233,0.2325044,0.6003275,0,0,0,0
184,0,0,0,0,0.2427655,0.1627806,0.006375781,0.2429281,1,0,0.06444092,0,0.04352563,0,0.06448314,0.2318854,0.6016306,0,0,0,0
185,0,0,0,0,0.2957617,0.1641537,0.006478476,0.2527226,1,0,0.07813377,0,0.04388725,0,0.06702349,0.2342898,0.6081125,0,0,0,0
186,0,0,0,0,0.2724958,0.1651641,0.006573093,0.2606677,1,0,0.07213846,0,0.0441533,0,0.06908093,0.2341927,0.6117588,0,0,0,0
187,0,0,0,0,0.2202885,0.1666559,0.006649582,0.2591978,1,0,0.05859396,0,0.04454602,0,0.06870051,0.2374929,0.6136501,0,0,0,0
188,0,0,0,0,0.2273416,0.1668396,0.00672852,0.2489536,1,0,0.06043123,0,0.04459437,0,0.06604647,0.2347686,0.6104588,0,0,0,0
