t_s,co_ppm,no2_ppm,temp_c,rh_pct
2100,10.6,1.433,30.03,80.35
2105,9.8,1.553,30.08,80.51
2110,10.6,1.433,30.08,80.55
2115,8.7,1.553,30.05,80.48
2120,9.4,1.553,30.03,80.62
2125,10.2,1.553,30.04,80.61
2130,11.5,1.492,30.03,80.6
2135,11.9,1.616,30.04,80.62
2140,11,1.553,30.06,80.74
2145,9.8,1.751,30.05,80.73
2150,11,1.616,30.08,80.81
2155,10.2,1.682,30.04,80.86
2160,9.8,1.751,30.08,80.93
2165,11.5,1.682,30.05,80.94
2170,11.5,1.616,30.01,80.9
2175,11.9,1.751,30.05,80.9
2180,10.6,1.896,30.08,81.03
2185,11,1.751,30.02,81
2190,11.5,1.682,30.03,81.16
2195,11,1.822,30.06,81.12
2200,10.2,1.822,30.02,81.18
2205,11,1.751,30.06,81.18
2210,10.2,1.896,30.06,81.19
2215,8.7,1.974,30.03,81.15
2220,11.9,1.822,30.07,81.21
2225,10.2,1.751,30,81.23
2230,10.2,1.974,30.05,81.28
2235,9,1.974,30.05,81.41
2240,9.8,1.974,30.01,81.37
2245,10.2,2.054,30.01,81.38
2250,11.9,1.974,30.04,81.42
2255,11.9,2.054,30.02,81.55
2260,11,2.054,30.05,81.47
2265,11,2.138,30.06,81.53
2270,11.5,1.974,30.02,81.64
2275,10.2,2.054,30.03,81.66
2280,9,1.974,30.02,81.58
2285,11,2.138,30.08,81.71
2290,11.9,2.226,30.06,81.63
2295,10.2,2.226,30.08,81.61
2300,9.4,2.138,30.05,81.64
2305,10.6,2.054,30.05,81.67
2310,9,2.226,30.03,81.78
2315,9.8,2.054,30.07,81.78
2320,11.9,2.226,30.05,81.79
2325,9.4,2.054,30.07,81.81
2330,9.4,2.316,30.06,81.96
2335,11.5,2.316,30.06,81.82
2340,9.4,2.226,30.04,81.83
2345,9.4,2.226,30.09,81.9
2350,9.8,2.316,30.06,81.92
2355,10.2,2.316,30.04,81.97
2360,9.8,2.509,30.08,82.09
2365,10.6,2.509,30.07,82.07
2370,10.6,2.316,30.09,82.02
2375,9.4,2.411,30.08,82.1
2380,10.6,2.509,30.04,82.08
2385,10.6,2.509,30.07,82.14
2390,10.6,2.411,30.06,82.09
2395,9.4,2.612,30.06,82.15
2400,9,2.612,30.03,82.18
2405,9,2.718,30.05,82.24
2410,9.8,2.316,30.05,82.28
2415,10.6,2.509,30.06,82.26
2420,11.5,2.612,30.03,82.22
2425,9.8,2.509,30.09,82.32
2430,9.4,2.612,30.08,82.34
2435,9.8,2.411,30.08,82.41
2440,10.6,2.509,30.06,82.38
2445,11,2.509,30.03,82.34
2450,9.8,2.718,30.02,82.43
2455,10.2,2.411,30.06,82.39
2460,9.4,2.612,30.06,82.5
2465,10.6,2.612,30.05,82.43
2470,9.4,2.829,30.06,82.48
2475,10.6,2.829,30.06,82.44
2480,9.4,2.829,30.05,82.56
2485,10.6,2.829,30.07,82.58
2490,9.8,2.612,30.04,82.53
2495,11.5,2.829,30.09,82.6
2500,10.6,2.829,30.08,82.48
2505,10.2,2.829,30.06,82.59
2510,10.2,2.718,30.06,82.63
2515,10.2,2.945,30.06,82.65
2520,10.2,2.718,30.09,82.59
2525,9,2.945,30.11,82.75
2530,9.8,2.718,30.05,82.71
2535,9.8,2.945,30.07,82.68
2540,10.2,2.945,30.07,82.78
2545,10.6,2.829,30.08,82.71
2550,11.5,3.065,30.1,82.69
2555,10.6,2.945,30.12,82.83
2560,9.4,3.065,30.05,82.79
2565,11.5,2.945,30.02,82.85
2570,8.7,2.829,30.05,82.87
2575,8.7,2.829,30.04,82.81
2580,11,2.945,30.11,82.92
2585,9.8,3.19,30.08,82.82
2590,11.5,3.065,30.1,82.89
2595,10.2,2.829,30.1,82.94
2600,9.8,3.065,30.07,82.95
2605,9.4,2.945,30.06,83.04
2610,9.4,2.945,30.05,82.95
2615,9.4,3.32,30.09,83
2620,8,3.19,30.06,83.04
2625,9.8,3.19,30.08,83.08
2630,9.8,3.32,30.1,82.96
2635,10.6,3.32,30.05,83.09
2640,9.8,3.32,30.09,83.07
2645,10.6,3.32,30.05,83.06
2650,8.3,3.32,30.08,83.1
2655,9.4,3.065,30.07,83.07
2660,9.4,3.19,30.1,83.13
2665,9.4,3.597,30.06,83.12
2670,9,3.456,30.08,83.06
2675,9.8,3.456,30.1,83.14
2680,10.2,3.19,30.1,83.18
2685,9.8,3.32,30.05,83.21
2690,8.7,3.456,30.07,83.23
2695,9,3.456,30.06,83.13
2700,9.8,3.19,30.1,83.18
2705,8.7,3.456,30.05,83.3
2710,9.4,3.456,30.07,83.18
2715,9.8,3.597,30.12,83.3
2720,9.8,3.597,30.08,83.33
2725,11,3.456,30.04,83.25
2730,9.8,3.743,30.09,83.36
2735,8.7,3.456,30.07,83.45
2740,9.8,3.597,30.08,83.27
2745,8.7,3.456,30.08,83.36
2750,9,3.896,30.08,83.34
2755,8.7,3.597,30.09,83.4
2760,11.5,3.456,30.06,83.37
2765,9.4,4.055,30.09,83.41
2770,9.8,3.597,30.07,83.42
2775,9,3.597,30.07,83.3
2780,8.7,3.743,30.08,83.43
2785,9,3.456,30.09,83.47
2790,9.8,3.896,30.12,83.37
2795,9.4,3.743,30.08,83.34
2800,9.4,3.456,30.1,83.48
2805,9.4,3.743,30.06,83.47
2810,8.3,3.743,30.09,83.49
2815,9.4,3.743,30.08,83.54
2820,9.8,3.896,30.05,83.51
2825,8.3,3.896,30.07,83.48
2830,11,3.743,30.08,83.4
2835,11,3.743,30.08,83.5
2840,10.2,3.896,30.11,83.54
2845,9,3.743,30.09,83.57
2850,9.4,3.597,30.06,83.5
2855,7.7,4.055,30.09,83.47
2860,9,3.896,30.07,83.62
2865,9.8,4.055,30.04,83.55
2870,8.7,4.055,30.09,83.56
2875,9.4,3.743,30.08,83.63
2880,10.6,4.055,30.11,83.64
2885,9.4,3.896,30.09,83.61
2890,9.8,4.055,30.08,83.58
2895,8.7,4.055,30.12,83.68
2900,9.8,3.896,30.07,83.67
2905,9.8,3.896,30.09,83.62
2910,10.2,4.221,30.12,83.68
2915,7.7,4.221,30.08,83.72
2920,9.4,4.221,30.11,83.68
2925,9.4,3.896,30.1,83.67
2930,9.8,4.055,30.11,83.6
2935,8.7,4.221,30.11,83.64
2940,9.8,3.896,30.08,83.7
2945,10.6,4.055,30.08,83.84
2950,9.4,4.055,30.03,83.74
2955,nan,nan,nan,nan
2960,nan,nan,nan,nan
2965,nan,nan,nan,nan
2970,nan,nan,nan,nan
2975,nan,nan,nan,nan
2980,nan,nan,nan,nan
2985,nan,nan,nan,nan
2990,nan,nan,nan,nan
2995,nan,nan,nan,nan
3000,nan,nan,nan,nan
3005,nan,nan,nan,nan
3010,nan,nan,nan,nan
3015,nan,nan,nan,nan
3020,nan,nan,nan,nan
3025,nan,nan,nan,nan
3030,nan,nan,nan,nan
3035,nan,nan,nan,nan
3040,nan,nan,nan,nan
3045,nan,nan,nan,nan
3050,nan,nan,nan,nan
3055,nan,nan,nan,nan
3060,nan,nan,nan,nan
3065,nan,nan,nan,nan
3070,nan,nan,nan,nan
3075,nan,nan,nan,nan
3080,1692,9.657,30.09,83.86
3085,1519,9.088,30.11,83.91
3090,1364,9.102,30.09,83.9
3095,1225,8.783,30.08,83.92
3100,1099,8.689,30.07,83.8
3105,988.4,7.696,30.07,84.01
3110,889,7.811,30.08,83.93
3115,799.1,7.596,30.11,83.93
3120,717.7,7.222,30.13,83.93
3125,644.1,7.41,30.09,83.82
3130,581.4,7.249,30.11,83.96
3135,521.7,7.102,30.09,83.99
3140,469.6,6.968,30.13,84.01
