t_s,co_ppm,no2_ppm,temp_c,rh_pct
1875,9.8,0,28.56,65.73
1880,14.6,0.141,28.51,65.7
1885,9.8,0.172,28.53,65.8
1890,8.7,0,28.58,65.73
1895,9.8,0.102,28.55,65.72
1900,10.6,0,28.57,65.68
1905,14.6,0,28.6,65.68
1910,11.9,0.34,28.54,65.78
1915,9.8,0.147,28.54,65.74
1920,12.9,0.194,28.57,65.7
1925,11.9,0.278,28.55,65.65
1930,11,0,28.59,65.6
1935,8.3,0,28.58,65.62
1940,13.5,0,28.54,65.68
1945,11.9,0.267,28.56,65.75
1950,9.4,0.147,28.56,65.65
1955,14.6,0.301,28.56,65.53
1960,10.6,0,28.56,65.67
1965,11.5,0.237,28.58,65.74
1970,11,0,28.6,65.67
1975,14,0.368,28.58,65.64
1980,11.9,0,28.58,65.61
1985,12.4,0.115,28.62,65.7
1990,13.5,0.125,28.58,65.59
1995,9.8,0.202,28.59,65.66
2000,11.5,0.313,28.6,65.57
2005,11.5,0,28.6,65.68
2010,14,0,28.59,65.64
2015,14,0.278,28.62,65.61
2020,12.4,0,28.55,65.62
2025,15.2,0.228,28.58,65.64
2030,12.9,0,28.59,65.63
2035,17.8,0,28.6,65.69
2040,16.4,0,28.61,65.57
2045,18.5,0.125,28.62,65.68
2050,19.3,0,28.61,65.53
2055,17.1,0.141,28.61,65.66
2060,15.8,0,28.63,65.65
2065,19.3,0,28.62,65.62
2070,17.8,0,28.65,65.62
2075,15.2,0,28.63,65.68
2080,14.6,0.487,28.62,65.59
2085,17.1,0,28.62,65.57
2090,17.1,0,28.64,65.62
2095,20.9,0,28.63,65.59
2100,18.5,0,28.69,65.57
2105,16.4,0.147,28.63,65.52
2110,18.5,0,28.64,65.51
2115,18.5,0,28.62,65.56
2120,19.3,0.247,28.65,65.62
2125,20.1,0,28.64,65.6
2130,20.1,0,28.62,65.59
2135,17.8,0,28.66,65.62
2140,17.8,0,28.64,65.6
2145,20.9,0,28.62,65.59
2150,15.8,0.106,28.67,65.5
2155,22.6,0,28.66,65.58
2160,16.4,0,28.66,65.53
2165,18.5,0,28.63,65.5
2170,24.5,0,28.66,65.59
2175,20.9,0.153,28.7,65.53
2180,20.9,0.153,28.65,65.52
2185,20.1,0,28.66,65.57
2190,23.6,0,28.67,65.53
2195,18.5,0.13,28.64,65.54
2200,22.6,0,28.72,65.48
2205,22.6,0,28.66,65.45
2210,23.6,0,28.68,65.5
2215,20.9,0,28.64,65.51
2220,22.6,0.106,28.69,65.4
2225,22.6,0,28.7,65.57
2230,21.8,0.432,28.7,65.48
2235,22.6,0,28.69,65.46
2240,18.5,0,28.7,65.51
2245,25.5,0.228,28.69,65.49
2250,30,0,28.7,65.45
2255,25.5,0,28.69,65.36
2260,25.5,0.313,28.68,65.46
2265,23.6,0,28.66,65.48
2270,24.5,0,28.69,65.35
2275,28.8,0,28.7,65.44
2280,24.5,0,28.72,65.52
2285,24.5,0,28.7,65.38
2290,25.5,0,28.72,65.46
2295,31.2,0.147,28.74,65.3
2300,30,0,28.7,65.44
2305,24.5,0,28.76,65.51
2310,26.6,0,28.73,65.32
2315,25.5,0,28.74,65.43
2320,27.7,0,28.78,65.36
2325,27.7,0,28.73,65.38
2330,24.5,0,28.76,65.45
2335,28.8,0,28.75,65.35
2340,25.5,0.267,28.72,65.41
2345,28.8,0.21,28.74,65.41
2350,28.8,0.159,28.75,65.4
2355,30,0.34,28.77,65.42
2360,33.8,0.301,28.73,65.35
2365,33.8,0.21,28.73,65.43
2370,32.5,0.219,28.73,65.35
2375,31.2,0,28.76,65.35
2380,31.2,0,28.75,65.34
2385,33.8,0.12,28.76,65.32
2390,32.5,0.449,28.75,65.3
2395,32.5,0,28.74,65.32
2400,32.5,0.102,28.79,65.4
2405,38.1,0.102,28.8,65.34
2410,33.8,0.257,28.76,65.35
2415,38.1,0,28.79,65.4
2420,36.6,0,28.76,65.32
2425,36.6,0,28.8,65.36
2430,35.2,0,28.77,65.39
2435,39.6,0.228,28.79,65.27
2440,38.1,0,28.81,65.3
2445,41.3,0,28.77,65.37
2450,36.6,0,28.79,65.38
2455,35.2,0,28.82,65.33
2460,39.6,0,28.79,65.28
2465,35.2,0,28.78,65.3
2470,38.1,0.289,28.8,65.38
2475,35.2,0,28.81,65.27
2480,38.1,0,28.83,65.3
2485,41.3,0,28.84,65.41
2490,38.1,0.159,28.82,65.23
2495,39.6,0,28.84,65.34
2500,41.3,0.135,28.83,65.31
2505,46.5,0.179,28.8,65.26
2510,39.6,0.289,28.84,65.33
2515,44.7,0,28.83,65.25
2520,41.3,0.34,28.83,65.2
2525,44.7,0.153,28.84,65.32
2530,52.5,0,28.82,65.3
2535,46.5,0.165,28.87,65.25
2540,41.3,0,28.85,65.18
2545,46.5,0,28.86,65.23
2550,46.5,0,28.85,65.24
2555,42.9,0,28.85,65.27
2560,46.5,0.415,28.86,65.14
2565,41.3,0.147,28.84,65.26
2570,50.4,0,28.88,65.12
2575,46.5,0.202,28.85,65.29
2580,44.7,0.194,28.88,65.29
2585,44.7,0.106,28.86,65.14
2590,48.4,0.102,28.86,65.13
2595,48.4,0,28.89,65.26
2600,50.4,0.432,28.84,65.22
2605,48.4,0,28.86,65.31
2610,52.5,0.219,28.9,65.21
2615,52.5,0,28.88,65.23
2620,50.4,0.278,28.92,65.22
2625,52.5,0,28.88,65.14
2630,50.4,0.153,28.9,65.17
2635,50.4,0.125,28.92,65.27
2640,52.5,0.115,28.88,65.19
2645,54.6,0.34,28.9,65.26
2650,54.6,0,28.89,65.21
2655,56.8,0,28.96,65.18
2660,59.1,0.179,28.91,65.11
2665,56.8,0.289,28.93,65.18
2670,52.5,0.219,28.92,65.2
2675,59.1,0,28.93,65.22
2680,50.4,0,28.95,65.19
2685,64.1,0.228,28.96,65.18
2690,54.6,0,28.94,65.14
2695,56.8,0,28.92,65.13
2700,59.1,0,28.93,65.14
2705,64.1,0.202,28.94,65.06
2710,56.8,0.353,28.97,65.09
2715,61.6,0.278,28.94,65.16
2720,66.7,0.172,28.97,65.09
2725,61.6,0,28.93,65.11
2730,64.1,0,28.99,65.14
2735,64.1,0.115,28.98,64.99
2740,66.7,0.219,28.99,65.07
2745,64.1,0.115,28.98,65.12
2750,64.1,0.267,28.96,65.09
2755,66.7,0.141,29,65.2
2760,66.7,0.102,28.96,65.02
2765,56.8,0,28.98,65.05
2770,64.1,0.399,29.01,64.95
2775,61.6,0,29.02,65.16
2780,69.4,0,29.03,65.13
2785,69.4,0.21,29.02,65.09
2790,75.2,0,29,65.06
2795,66.7,0.102,28.99,65.1
2800,66.7,0,29.02,65.06
2805,69.4,0,29,65.02
2810,75.2,0.301,28.99,65.13
2815,66.7,0.115,29.01,65.01
2820,69.4,0,29.03,65.12
2825,75.2,0,29.04,64.97
2830,72.2,0.368,29.07,65.03
2835,75.2,0.172,28.98,65.04
2840,72.2,0,29,65.12
2845,78.3,0,29.02,65.08
2850,75.2,0,29.01,65
2855,72.2,0,29.04,65.11
2860,72.2,0.194,29.04,65.01
2865,81.5,0.194,29.07,65.05
2870,75.2,0.102,29.11,65.02
2875,81.5,0.289,29.03,65.12
2880,75.2,0.165,29.06,64.99
2885,81.5,0,29.05,65
2890,81.5,0.313,29.04,65.04
2895,81.5,0,29.12,65.03
2900,84.8,0,29.08,64.93
2905,84.8,0,29.06,65.01
2910,84.8,0,29.07,65.06
2915,84.8,0.135,29.08,65.02
2920,81.5,0,29.11,64.95
2925,84.8,0,29.12,64.91
2930,84.8,0,29.1,64.89
2935,84.8,0.228,29.09,65.07
2940,81.5,0,29.14,65
2945,81.5,0.219,29.12,64.93
2950,88.2,0,29.1,65.03
2955,88.2,0.172,29.09,64.97
2960,91.8,0.247,29.12,64.99
2965,88.2,0,29.07,65.1
2970,95.6,0.12,29.12,64.96
2975,91.8,0,29.11,64.95
2980,88.2,0,29.14,64.95
2985,81.5,0.34,29.15,64.95
2990,95.6,0,29.16,64.89
2995,99.5,0,29.12,64.9
3000,95.6,0.301,29.16,64.88
3005,95.6,0.278,29.16,64.99
3010,99.5,0,29.15,64.92
3015,91.8,0,29.17,64.91
3020,91.8,0.432,29.18,64.84
