step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
100,0,1.098365,0.01563644,1.10549,0.05322925,0.04898734,0.0006973892,0.05482603,0,0,0.01437787,0.04468403,0.01323732,0.04496942,0.01480698,-0.4506707,0.1877436,0,0,0,0
101,3.694528,1.160178,0.01691926,1.16488,0,0.04782097,0.0006973892,0.05345605,0,0.1451056,0,0.04715807,0.01292355,0.04734612,0.01443883,-0.442313,0.1877067,0,0,0,0
102,0,1.133197,0.01691926,1.16488,0.2321289,0.0521072,0.0007779895,0.05915702,0,0,0.06167697,0.0460787,0.01407627,0.04734612,0.01597021,-0.446668,0.191156,0,0,0,0
103,3.845305,1.194836,0.01825444,1.634862,0,0.05092295,0.0007779895,0.04880291,0,0.1507284,0,0.04854338,0.01375787,0.06601696,0.01318771,-0.4484225,0.1886441,0,0,0,0
104,0,1.168284,0.01825444,1.634862,0,0.04979133,0.0007779895,0.04880291,0,0,0,0.0474822,0.01345356,0.06601696,0.01318771,-0.4501686,0.1871789,0,0,0,0
105,0,1.142886,0.01825444,1.240455,0,0.04870891,0.0007779895,0.04772525,0,0,0,0.04646642,0.01316242,0.0503648,0.0128978,-0.448078,0.1889,0,0,0,0
106,2.906219,1.180404,0.01926354,1.59566,0.2491623,0.05297387,0.0008645042,0.07164849,0,0.1153454,0.0661006,0.0479667,0.01430923,0.06446877,0.01931995,-0.4469191,0.1856258,0,0,0,0
107,0,1.155812,0.01926354,1.185156,0.1335677,0.05465291,0.0009108819,0.08797342,0,0,0.03581049,0.04698349,0.01476046,0.04815662,0.023686,-0.4443203,0.1868285,0,0,0,0
108,0,1.132224,0.01926354,1.185156,0.06766764,0.05491852,0.0009343776,0.06983624,0,0,0.01825328,0.04603978,0.01483183,0.04815662,0.01883445,-0.4493822,0.1892731,0,0,0,0
109,2.682778,1.163235,0.02019506,1.04307,0.08264944,0.05547314,0.0009630753,0.07927099,0,0.1067972,0.02226357,0.04728034,0.01498084,0.04246729,0.02136021,-0.4446171,0.1888126,0,0,0,0
110,0,1.140427,0.02019506,1.04307,0.2246645,0.05879061,0.001041084,0.1056946,0,0,0.05973415,0.04636801,0.01587183,0.04246729,0.02841055,-0.4489706,0.187048,0,0,0,0
111,3.549664,1.186758,0.02142758,1.476918,0,0.05766003,0.001041084,0.1056946,0,0.1396825,0,0.04822064,0.01556824,0.05976925,0.02841055,-0.4475562,0.1855835,0,0,0,0
112,0,1.164367,0.02142758,1.154004,0.2386357,0.06107466,0.001123943,0.1071765,0,0,0.0633684,0.04732558,0.01648495,0.04691117,0.02880492,-0.447951,0.1858511,0,0,0,0
113,0,1.142804,0.02142758,1.154004,0.06001581,0.06105505,0.001144782,0.09967087,0,0,0.01620075,0.04646314,0.01647969,0.04691117,0.02680633,-0.4433646,0.185574,0,0,0,0
114,0,1.122026,0.02142758,1.154004,0.1582013,0.06282135,0.001199713,0.1107656,0,0,0.04231897,0.04563157,0.01695365,0.04691117,0.02975966,-0.4470533,0.1874037,0,0,0,0
115,0,1.10199,0.02142758,0.8261093,0.08264944,0.06317542,0.001228411,0.1116839,0,0,0.02226357,0.04482925,0.01704864,0.03373639,0.03000384,-0.4449384,0.1868012,0,0,0,0
116,0,1.082657,0.02142758,0.8261093,0,0.06206708,0.001228411,0.08383086,0,0,0,0.04405466,0.01675127,0.03373639,0.02257933,-0.4432319,0.1859849,0,0,0,0
117,0,1.06399,0.02142758,0.4317023,0.07330348,0.06226081,0.001253864,0.09279017,0,0,0.01976317,0.04330638,0.01680325,0.01772809,0.0249717,-0.4493147,0.1868543,0,0,0,0
118,3.276752,1.101495,0.02256534,0.7999029,0.1446921,0.06365795,0.001304104,0.08395969,0,0.1294102,0.03875333,0.04480942,0.01717808,0.03267821,0.02261376,-0.4441103,0.1834775,0,0,0,0
